fecha,total_fob
2007-01-01,3149409024
2007-02-01,3365628160
2007-03-01,3920175360
2007-04-01,4033126144
2007-05-01,4587430912
2007-06-01,4350599680
2007-07-01,4477799936
2007-08-01,4718254080
2007-09-01,4625434624
2007-10-01,5341698048
2007-11-01,5126372864
2007-12-01,5448429056
2008-01-01,5414234624
2008-02-01,4840806400
2008-03-01,4653783552
2008-04-01,5563076608
2008-05-01,5995426304
2008-06-01,4975540224
2008-07-01,6806493184
2008-08-01,7018840064
2008-09-01,6656586240
2008-10-01,5879414272
2008-11-01,4716075008
2008-12-01,3944958720
2009-01-01,3484452096
2009-02-01,3750219264
2009-03-01,3994846464
2009-04-01,4787723776
2009-05-01,4961152512
2009-06-01,4925275136
2009-07-01,4706699264
2009-08-01,4198416640
2009-09-01,4374858752
2009-10-01,4595881984
2009-11-01,4545404416
2009-12-01,4512981504
2010-01-01,4206648576
2010-02-01,3715035648
2010-03-01,4465502208
2010-04-01,5955855360
2010-05-01,6299442176
2010-06-01,6115507712
2010-07-01,5825297408
2010-08-01,6171068928
2010-09-01,6213778432
2010-10-01,5822216704
2010-11-01,5624815104
2010-12-01,5152264704
2011-01-01,4895605248
2011-02-01,5163286016
2011-03-01,5765428736
2011-04-01,6758680064
2011-05-01,7625209344
2011-06-01,7643383296
2011-07-01,6946906112
2011-08-01,7932741632
2011-09-01,7463502848
2011-10-01,7175770112
2011-11-01,6163088384
2011-12-01,5966418944
2012-01-01,5090574848
2012-02-01,5842265088
2012-03-01,5913640448
2012-04-01,6407095296
2012-05-01,6792821760
2012-06-01,6600848896
2012-07-01,7342453248
2012-08-01,7010792960
2012-09-01,6719961088
2012-10-01,6652570112
2012-11-01,6344175616
2012-12-01,6047033344
2013-01-01,5119991808
2013-02-01,4677213696
2013-03-01,5845693440
2013-04-01,6724209664
2013-05-01,8127004160
2013-06-01,7311474176
2013-07-01,6619373056
2013-08-01,6949863424
2013-09-01,6456823296
2013-10-01,5731878400
2013-11-01,4861182464
2013-12-01,4774398976
2014-01-01,4013192192
2014-02-01,4113672192
2014-03-01,4648701952
2014-04-01,6247539712
2014-05-01,6835097088
2014-06-01,6924250624
2014-07-01,6136979456
2014-08-01,6217155072
2014-09-01,5506038272
2014-10-01,5641283584
2014-11-01,4763621376
2014-12-01,4368890368
2015-01-01,3656406016
2015-02-01,3730718976
2015-03-01,4256175616
2015-04-01,5007355904
2015-05-01,5086331904
2015-06-01,6044590592
2015-07-01,5431076864
2015-08-01,5105796608
2015-09-01,5019742720
2015-10-01,4904572416
2015-11-01,3861507840
2015-12-01,3345004032
2016-01-01,3763495936
2016-02-01,4037918464
2016-03-01,4311354368
2016-04-01,4661838848
2016-05-01,5204810240
2016-06-01,5191522304
2016-07-01,4874181120
2016-08-01,5696049664
2016-09-01,4915415040
2016-10-01,4539990528
2016-11-01,4808601600
2016-12-01,4647998464
2017-01-01,4269379840
2017-02-01,3782894080
2017-03-01,4518115328
2017-04-01,4760320512
2017-05-01,5339172864
2017-06-01,4994101248
2017-07-01,5138262528
2017-08-01,5120430080
2017-09-01,4996552192
2017-10-01,5240933376
2017-11-01,4441613312
2017-12-01,4396864000
2018-01-01,4589538304
2018-02-01,4147249664
2018-03-01,5232269824
2018-04-01,5126674944
2018-05-01,4944229888
2018-06-01,4983378944
2018-07-01,5261201920
2018-08-01,4977550848
2018-09-01,4899224064
2018-10-01,5192162816
2018-11-01,5248139776
2018-12-01,5206219264
2019-01-01,4427219968
2019-02-01,4249561088
2019-03-01,4921553920
2019-04-01,5299215872
2019-05-01,5858729984
2019-06-01,5065485824
2019-07-01,5663932928
2019-08-01,5296648704
2019-09-01,5515581440
2019-10-01,5636173824
2019-11-01,6006319616
2019-12-01,5147383296
2020-01-01,4391718912
2020-02-01,4159750656
2020-03-01,4193031424
2020-04-01,4140066560
2020-05-01,5094215680
2020-06-01,4637174272
2020-07-01,4823759360
2020-08-01,4835712000
2020-09-01,4606907392
2020-10-01,4500706304
2020-11-01,4206414592
2020-12-01,3412714752
2021-01-01,4857811968
2021-02-01,4635607552
2021-03-01,5768949760
2021-04-01,6096811520
2021-05-01,6834393600
2021-06-01,6800867840
2021-07-01,6980657664
2021-08-01,7827716608
2021-09-01,7184479744
2021-10-01,6758856704
2021-11-01,5889153536
2021-12-01,6506112000
2022-01-01,5244592640
2022-02-01,6247736320
2022-03-01,7008994304
2022-04-01,8001190400
2022-05-01,7959931392
2022-06-01,8085248000
2022-07-01,7392441344
2022-08-01,7275401216
2022-09-01,7209681408
2022-10-01,7710996992
2022-11-01,6811822080
2022-12-01,5862541312
2023-01-01,4675247616
2023-02-01,5001425408
2023-03-01,5520018944
2023-04-01,5600517120
2023-05-01,6024484352
2023-06-01,5232614400
2023-07-01,5833324032
2023-08-01,5689155072
2023-09-01,5593914880
2023-10-01,5177567744
2023-11-01,4723143680
