fecha,total_cif
2007-01-01,2851651328
2007-02-01,2685565696
2007-03-01,3329790720
2007-04-01,3066594048
2007-05-01,3471286272
2007-06-01,3518417664
2007-07-01,3971876608
2007-08-01,4257144576
2007-09-01,3731815680
2007-10-01,4198475008
2007-11-01,4221400576
2007-12-01,3681124864
2008-01-01,4336357376
2008-02-01,4016487424
2008-03-01,4027027456
2008-04-01,4757124096
2008-05-01,4976123392
2008-06-01,5084842496
2008-07-01,5659259904
2008-08-01,4932730368
2008-09-01,5129218560
2008-10-01,4917185536
2008-11-01,4033321472
2008-12-01,3336961280
2009-01-01,2689651712
2009-02-01,2566153984
2009-03-01,2728883200
2009-04-01,2683559936
2009-05-01,2444707840
2009-06-01,3267176960
2009-07-01,3348677120
2009-08-01,3028585216
2009-09-01,3418427392
2009-10-01,3458640896
2009-11-01,3431780352
2009-12-01,3376317696
2010-01-01,3022256128
2010-02-01,3108312064
2010-03-01,4203241216
2010-04-01,3999116544
2010-05-01,4298700800
2010-06-01,4848146944
2010-07-01,4947136512
2010-08-01,5067013632
2010-09-01,5138138112
2010-10-01,4807326208
2010-11-01,5316279808
2010-12-01,4978492928
2011-01-01,4632591872
2011-02-01,4503318528
2011-03-01,5476555264
2011-04-01,5340603904
2011-05-01,5918744064
2011-06-01,6056471552
2011-07-01,6105201152
2011-08-01,6969445888
2011-09-01,6318245376
2011-10-01,5831403008
2011-11-01,5896564224
2011-12-01,5319774720
2012-01-01,4879769600
2012-02-01,4371367424
2012-03-01,4867427328
2012-04-01,4410499584
2012-05-01,5543412224
2012-06-01,5337298944
2012-07-01,5682808320
2012-08-01,5714629632
2012-09-01,5210473984
2012-10-01,5974408192
2012-11-01,5432437760
2012-12-01,5030949888
2013-01-01,4914240000
2013-02-01,4780467712
2013-03-01,5003284992
2013-04-01,5721055232
2013-05-01,6312222208
2013-06-01,5632136704
2013-07-01,6311570432
2013-08-01,6213461504
2013-09-01,5629531648
2013-10-01,6055727616
2013-11-01,5365752320
2013-12-01,4830780416
2014-01-01,4911514624
2014-02-01,4726659072
2014-03-01,4711819776
2014-04-01,4617107968
2014-05-01,4895607296
2014-06-01,4725675008
2014-07-01,5009546752
2014-08-01,4584751616
2014-09-01,4840991744
2014-10-01,4740556288
2014-11-01,4074902016
2014-12-01,3788023552
2015-01-01,4063822080
2015-02-01,3680471296
2015-03-01,4335420928
2015-04-01,4427631104
2015-05-01,4285413888
2015-06-01,4929512960
2015-07-01,5059717120
2015-08-01,4703607808
2015-09-01,4750333952
2015-10-01,4594122240
2015-11-01,4279010304
2015-12-01,4127700736
2016-01-01,3787524352
2016-02-01,3849852928
2016-03-01,4379250176
2016-04-01,4231443456
2016-05-01,4404752896
2016-06-01,4584120320
2016-07-01,4662030336
2016-08-01,5103650304
2016-09-01,4535007744
2016-10-01,4373708288
2016-11-01,4406938112
2016-12-01,4166353408
2017-01-01,4354944512
2017-02-01,3784579840
2017-03-01,5265604096
2017-04-01,4553203712
2017-05-01,5508230656
2017-06-01,5370354176
2017-07-01,5454358528
2017-08-01,5811852288
2017-09-01,5570711552
2017-10-01,5952350720
2017-11-01,5804754432
2017-12-01,5110824448
2018-01-01,5524104192
2018-02-01,5009156096
2018-03-01,5806988800
2018-04-01,5839472640
2018-05-01,5967783936
2018-06-01,4987338752
2018-07-01,5589699072
2018-08-01,5737373696
2018-09-01,4335586304
2018-10-01,4834142208
2018-11-01,4128495616
2018-12-01,3824249600
2019-01-01,3954754816
2019-02-01,3773528832
2019-03-01,3738187008
2019-04-01,3920727808
2019-05-01,4276748544
2019-06-01,3906706432
2019-07-01,4707953664
2019-08-01,3944255744
2019-09-01,3947297536
2019-10-01,3879474944
2019-11-01,3267328256
2019-12-01,2859068160
2020-01-01,3237624832
2020-02-01,2956436992
2020-03-01,2945938432
2020-04-01,2722075136
2020-05-01,2926501888
2020-06-01,2994829312
2020-07-01,3291676160
2020-08-01,3265902080
2020-09-01,3857583360
2020-10-01,3761720576
2020-11-01,3870025216
2020-12-01,3686137088
2021-01-01,3603176704
2021-02-01,3518935552
2021-03-01,4997019136
2021-04-01,4472934912
2021-05-01,5115997696
2021-06-01,5260763648
2021-07-01,4973883392
2021-08-01,5007207936
2021-09-01,5290224640
2021-10-01,4709962752
2021-11-01,5282853888
2021-12-01,5591839744
2022-01-01,5121106944
2022-02-01,5160798720
2022-03-01,6735012864
2022-04-01,6327631360
2022-05-01,7606662656
2022-06-01,7269511680
2022-07-01,7655589376
2022-08-01,7279381504
2022-09-01,6994027008
2022-10-01,5840954880
2022-11-01,6199002112
2022-12-01,5269438976
2023-01-01,5511168512
2023-02-01,5185424896
2023-03-01,6983440896
2023-04-01,6368764928
2023-05-01,6520371200
2023-06-01,6786720256
2023-07-01,5889685504
2023-08-01,6417864192
2023-09-01,6067719168
2023-10-01,5440560640
2023-11-01,5099587072
